"focal","neighbor","planche","passage","RYT_poids_grains_g_adj","RAW_poids_grains_g_adj","RYT_nb_grains_adj","RAW_nb_grains_adj","RYT_poids_epis_g_adj","RAW_poids_epis_g_adj","RYT_poids_biomasse_g_adj","RAW_poids_biomasse_g_adj","RYT_nb_epis_adj","RAW_nb_epis_adj","RYT_poids_proteines_g_adj","RAW_poids_proteines_g_adj","RYT_PMG_g","RAW_PMG_g","RYT_rdt_semoule","RAW_rdt_semoule","RYT_proteines","RAW_proteines","RYT_PS","RAW_PS","RYT_mitadin","RAW_mitadin","RYT_jaune","RAW_jaune","RYT_MS_g_adj","RAW_MS_g_adj","RAW_GPD","RYT_GPD"
"EL4X_192","EL4X_469",9,16,0.953192156236072,576.15591785379,0.999289484191638,14783.2436914564,0.967706916167486,972.192847903591,0.940466309996213,679.558497688387,0.983521693839036,378.159289571789,0.973698301804013,93.6433725598507,0.957714057668857,39.1536180988939,0.998350093749342,73.2801553162495,1.02003229525807,16.253130386767,0.993341153297067,78.9973526408073,1.23480432158072,12.3517083392612,1.00405993816144,38.8765582782523,0.870918443004132,0.963752530916051,-0.288398703644099,0.0961061412656841
"EL4X_192","EL4X_504",3,29,1.11696714730963,658.289463604298,0.995580149718965,16032.0862145609,1.07974057615022,1066.87557400034,0.935331296247676,738.842450087352,0.982774711728582,387.63381852231,1.08913156597306,105.487166531127,1.10165295688183,41.0607488006568,1.0003145728563,74.0126752869846,0.97852997491078,16.0244348973108,1.01083472783714,79.4220853828234,0.505806920987224,4.22383891060328,1.00564900958256,38.2659933725831,0.892782295543492,0.972145349853981,-0.275113895311443,-0.332700638485763
"EL4X_194","EL4X_366",10,32,0.737997507043372,564.557379844691,0.821250954500024,15831.4469594671,0.805871909285094,941.600473802034,0.887632124872448,733.253187258519,0.913326825502172,359.453756141281,0.773227603072291,95.222249829754,0.899445386900156,35.6889413953503,0.990511686268763,72.4170568501099,1.04568334458247,16.866708899625,0.991833421950624,78.8068899906192,1.50519731426584,7.11370042055363,0.990986264563094,37.9251689284451,0.787010979609756,0.853666448238155,0.291008416079512,-0.0144262110457657
"EL4X_195","EL4X_59",11,15,0.758108553812775,650.25730778752,0.747755080715638,17938.3373857838,0.756256086390194,1013.98269086971,0.743548635286999,623.313752942867,0.720694598115855,384.6439193942,0.747850248829627,100.087643612024,1.02493878281137,36.2578005905936,1.00501675180395,72.652280212705,0.980536761982548,15.3920059664642,1.00473849107699,80.8340007353558,0.805678389904488,9.45744792767663,0.979027945438919,38.3924747669095,1.13410304083326,1.02259681753309,-0.931207011585212,-0.799855624923118
"EL4X_197","EL4X_6",10,7,1.03706419665824,684.57185530254,1.07774408277098,16107.8019547703,1.04574328988675,1080.22918830099,1.08003835356106,776.465422270652,1.04145290938657,365.584479429857,1.07127907261612,110.933412143146,0.968204678409401,42.6018459632101,0.98558209090052,73.6358778027235,1.02870782104993,16.2047871649821,0.98980987543052,81.3203196145216,0.270098621685962,-0.881564206115045,1.00229486973488,37.7895412178765,0.874430769405185,0.858580179066555,-0.0173289427166765,0.340216560330774
"EL4X_198","EL4X_262",3,20,1.22818825471985,737.519261712416,1.17605498298259,19176.3254421649,1.16706900321989,1080.51610186885,1.24625835576694,745.422931009219,1.13293870638141,390.905803604096,1.15442891392348,117.95928587998,1.05433853403842,38.4984301170909,1.00829959395228,73.0402962284455,0.947281511423623,15.9940617152283,1.01933445972074,80.205413894022,-1.21959469709919,-2.63576192144467,0.99548854567844,37.8208282568379,1.34959262059034,1.13699803146802,-0.0720617459441919,-0.378153414110385
"EL4X_198","EL4X_395",5,19,1.19015218180818,753.936797813518,1.16801278092732,18150.3366785398,1.1832123453613,1084.00995806766,1.11310735047238,833.741944117774,1.16902233241439,391.800218085038,1.11855679079014,114.197290573919,0.996607082733359,41.6546824713932,0.998857426905723,74.0491807507546,0.948804016625726,15.1467988968175,0.997923704954678,82.3873160164305,-3.84028981540023,4.04054502132844,0.999223793452568,38.4572268311703,1.03067065181473,0.91650148478293,-0.870955530260549,-0.25697409672072
"EL4X_201","EL4X_316",11,22,1.29702450771068,741.545829421226,1.08099458517242,17228.2200889958,1.21651125143881,1132.32091996725,1.05933462686551,801.404778803683,1.06577165429446,405.417375676186,1.19633045001579,117.378303223622,1.2363220185511,43.997220218631,1.01688418705321,72.8704304662125,0.945728371909084,15.8288670189455,1.02217997850438,78.7647872615498,0.820084535276609,8.58027842116584,1.01513755312652,38.8936700722626,1.14149282907536,1.06320564465417,-0.225393444661946,-0.302015040151239
"EL4X_201","GQ4X_140",6,15,1.36018924120896,774.606352322121,1.20223241516679,18143.4520212499,1.25082898710784,1167.90229750837,1.16799105208726,868.84924146753,1.07872936220224,414.249369953735,1.30631918865604,125.181375873429,1.13944092426972,43.3980462436289,1.01058782346052,73.0053719979183,0.980684230392619,16.1606441127366,1.01903494241261,79.1167938387231,0.775259262592513,11.4792916808293,1.01556210058174,38.4572349929066,1.02326777094912,1.10834827981602,0.203785935899043,0.385440052706512
"EL4X_202","EL4X_243",7,26,1.01821318349093,733.440208333674,0.93936913926809,18396.6573207717,1.01998075591404,1138.25464948005,0.95900068908763,754.304567763681,0.954313485348527,433.454399514744,0.99932898201534,117.782956305266,1.0672947663374,39.8860544346093,0.993573633842946,73.2939131460553,0.99588000905387,16.0589718107848,0.99863868450633,79.5565655802493,1.18789467248663,9.51152119933222,1.01194549090032,38.1708796515134,1.11096955309936,1.05746748002755,-0.0191692802399195,0.0568521845724939
"EL4X_202","EL4X_278",9,7,0.943029700052652,687.537274191651,0.897396918939158,17821.7775618184,0.937845760076941,1032.52309212409,0.917102780316967,719.535408618817,0.870941721710552,392.879852766947,0.951641033822481,110.803076731849,1.0453721536032,38.6151556638963,0.998778051373164,73.5016879241377,1.01738337604411,16.1159374031206,1.00620659335134,80.7203578585732,0.584816378478489,6.00338021792772,1.00744876977124,37.7021837663404,1.01476771050015,0.998836006718662,-0.0974420435792677,0.263413032676389
